,scintillator,area,Imax,Imin,Imean,Istd,Imax-Imin/Imean (%),Isdt / Imean (%)
0,scint1,000,0.5321,0.4821,0.5068,0.0101,9.87,1.99
0,scint1,001,0.5309,0.4898,0.5084,0.0096,8.09,1.89
0,scint1,002,0.5253,0.4811,0.5007,0.0105,8.81,2.09
0,scint1,003,0.5342,0.477,0.5064,0.0133,11.29,2.63
0,scint2,000,0.5196,0.495,0.5051,0.0074,4.86,1.47
0,scint2,001,0.513,0.4934,0.5031,0.0058,3.89,1.15
0,scint2,002,0.5124,0.4905,0.5001,0.0061,4.38,1.22
0,scint2,003,0.5157,0.4877,0.5008,0.0065,5.59,1.3
0,scint3,000,0.6148,0.587,0.6033,0.0042,4.6,0.7
0,scint3,001,0.6109,0.5963,0.6034,0.0027,2.43,0.45
0,scint3,002,0.6056,0.5904,0.597,0.0033,2.55,0.55
0,scint3,003,0.6012,0.5834,0.5922,0.0048,3.01,0.8
